name,category,pcosTag,description
Idli,Indian Meal,GOOD,High protein
Dosa,Indian Meal,LIMIT,Low GI if cooked properly
Medu Vada,Indian Meal,LIMIT,Low nutrition when fried
Puri,Indian Meal,AVOID,Low nutrition when fried
Paratha,Indian Meal,LIMIT,Diabetic if eaten regularly
Bhatura ,Indian Meal,LIMIT,High fat
Aloo Sabzi,Indian Meal,LIMIT,High GI
Chole Bhature ,Snacks,AVOID,Unhealthy because it is fried
Pav Bhaji ,Snacks,AVOID,High GI
Samosa,Snacks,LIMIT,Hormone imbalance
Kachori,Snacks,AVOID,Unhealthy because it is fried
Bread Pakora ,Snacks,AVOID,Blood sugar level spikes
Bhel Puri ,Snacks,LIMIT,High GI
Pani Puri,Snacks,LIMIT,High GI
Sev Puri ,Snacks,LIMIT,High GI
Dhokla,Snacks,GOOD,High protein
Thepla,Snacks,LIMIT,High fat
Khandvi,Snacks,GOOD,Low GI
Undhiyu,Indian Meal,AVOID,High GI
Kadhi,Indian Meal,GOOD,Blood sugar control
Dal Tadka ,Pulses,GOOD,High protein
Dal Fry ,Pulses,GOOD,High protein
Jeera Rice ,Grain,GOOD,Blood sugar control
Veg Pulao,Indian Meal,GOOD,High fiber
Biryani ,Indian Meal,LIMIT,High GI
Masala Rice ,Grain,AVOID,High GI
Coconut Rice,Grain,LIMIT,High GI
Rasam ,Indian Meal,LIMIT,High fiber
Sambar ,Vegetable,GOOD,Low GI
Curd Rice,Indian Meal,GOOD,Blood sugar control
Lemon Rice ,Grain,LIMIT,High GI
Tamarind Rice ,Grain,LIMIT,Sour food
Roti ,Indian Meal,GOOD,High fiber
Phulka ,Indian Meal,GOOD,High fiber
Naan ,Indian Meal,AVOID,High GI
Kulcha ,Indian Meal,LIMIT,High GI
Cinnamon Tea,Beverage,GOOD,Blood sugar control
Green Tea,Beverage,GOOD,Weight Management
Tea ,Beverage,LIMIT,High Caffeine if consumed on regular basis
Coffee ,Beverage,LIMIT,High Caffeine if consumed on regular basis
Lassi,Beverage,LIMIT,Hormonal imbalance if consumed on regular basis
Chaach ,Beverage,LIMIT,Blood sugar level spikes
Milkshake,Beverage,AVOID,Hormonal imbalance if consumed on regular basis
Gulab Jamun ,Snacks,AVOID,Deep fried
Rasgulla ,Snacks,AVOID,Blood sugar level spikes
Sandesh ,Snacks,LIMIT,Still contains sugar but portion control is key
Jalebi ,Snacks,AVOID,Deep fried
Imarti ,Snacks,AVOID,Deep fried
Chikki ,Snacks,LIMIT,Healthy fats and protein slow sugar absorption
Gajak,Snacks,LIMIT,"High calories, moderate sugar"
Murmura Laddu ,Snacks,LIMIT,Low calorie but jaggery adds sugar
Apple ,Fruits,GOOD,"High fiber, low GI"
Banana ,Fruits,LIMIT,Carb Heavy
Mango ,Fruits,LIMIT,Blood sugar level spikes
Guava,Fruits,GOOD,High fiber
Papaya ,Fruits,LIMIT,Excess may affect hormone balance
Orange ,Fruits,GOOD,High Vitamin C
Mosambi ,Fruits,GOOD,"Hydrating, low GI"
Bhindi(Lady Finger),Vegetable,GOOD,Low GI
Red Poha ,Indian Meal,GOOD,High protein
Mango Shake,Beverage,AVOID,Blood sugar level spikes
Milk,Dairy Product,LIMIT,Can spike insulin
Curd/Dahi,Dairy Product,GOOD,Probiotics improve gut health
Butter,Dairy Product,AVOID,High fat
Ghee,Dairy Product,LIMIT,Excess = calorie overload
Cheese,Dairy Product,AVOID,Can worsen acne & bloating
Ice Cream,Dairy Product,LIMIT,Blood sugar level spikes
